" questions_groups"," standard_questions","intent","question_variants","answers"
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Какие действия разрешены пациентам в хосписе?","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Что разрешается делать больным в условиях стационара?","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Перечислите, пожалуйста, что можно делать, находясь в хосписе?","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Какая активность возможна для пациентов в стационаре?","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Что входит в список разрешенных занятий для пациентов в хосписе?","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Разрешается ли в вашем хосписе","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Что делают пациенты в свободное время в условиях стационара","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Что разрешается делать больным в условиях стационара?","patient_activities","Какие правила есть в хосписе?","В хосписе можно: Ложиться спать и просыпаться в любое время.  Завтракать, обедать и ужинать в любое время. Ходить или не ходить на любые общие мероприятия по настроению.  Переставлять мебель в своей каюте на свое усмотрение. Отключать часы, если они слишком сильно тикают. Брать на время в палату мебель из игровой или коридора. Родители могут выйти погулять по городу, если договорятся с руководителем стационара, что с ребенком в это время побудет няня. Если есть персонал, мы можем предоставить ребенку наблюдение няни на 2 часа. Родители могут оставить для няни все пожелания по уходу в письменной или устной форме. Если есть свободные каюты и свободные няни – родители могут выспаться в отдельной комнате. Медсестра может ночью посидеть с ребенком в палате, чтобы родители не вставали на манипуляции. Пользоваться джакузи на 1 этаже могут и дети, и родители. Ванной на 2 этаже только дети и сиблинги. Гости могут круглосуточно навещать ребенка в холле хосписа.  Гости могут навестить ребенка и в каюте – для входа внутрь стационара надо накануне подать заявку координатору стационара Ульяне Глазуновой.  Можно попросить индивидуальные консультации у специалистов хосписа: по альтернативной коммуникации, физической терапии, респираторной поддержке (но специалист может быть в отпуске и тп). Можно курить, но за воротами хосписа. Выходить погулять вместе с родителями по территории в любое время.  Менять постельное белье по потребности, получать дополнительные подушки, одеяла и прочее необходимое. Кухней, игровой, ванной, прачечной можно пользоваться 24 часа в сутки. На 4 этаже есть спортивная комната, открытая 24 часа в сутки. Дети до 14 лет могут находится там только в сопровождении взрослых."
"Условия в хосписе","Условия в стационаре","facility_amenities","Какие условия предоставляются в стационаре?","Что есть в хосписе: Раскладушки. Стиральная и сушильная машины. Весы (включая весы для взвешивания на коляске). Wi-fi. Общий ноутбук. Подъемники. Шезлонги для душа разных размеров. Каталки для мытья лежа и для перевозки лежа. Санитарные стулья, они же стулья для душа. Насадки на унитазы. Инвалидные кресла (всех видов, включая электроскутеры). Холодильник. Плита. Микроволновка. Блендер. Кофемашина. Тостер. Машина для поп-корна. Машина для сладкой ваты. Кастрюли, сковородки. Настольные игры. Книжки. Питание для малышей (баночки, разводные каши). Тазы, кувшины, вазы и тп. Увлажнители воздуха Обогреватели для комнаты (плюс всегда можно включить кондиционер в режиме обогрева) Горшки, стульчики для кормления Дополнительные (более мягкие ) матрасы, легкие одеяла, твердые подушки Зарядки для телефонов разных моделей Дополнительные навесные полки в шкафы Если вам нужно что-то, чего нет в этом списке (например батарейка или нитки и тп) – обратитесь к руководителю стационара, скорее всего, мы сможем найти то что вам нужно. Место для потерянных вещей у охранника на 1 этаже."
"Условия в хосписе","Условия в стационаре","facility_amenities","Какие удобства предоставляются в хосписе?","Что есть в хосписе: Раскладушки. Стиральная и сушильная машины. Весы (включая весы для взвешивания на коляске). Wi-fi. Общий ноутбук. Подъемники. Шезлонги для душа разных размеров. Каталки для мытья лежа и для перевозки лежа. Санитарные стулья, они же стулья для душа. Насадки на унитазы. Инвалидные кресла (всех видов, включая электроскутеры). Холодильник. Плита. Микроволновка. Блендер. Кофемашина. Тостер. Машина для поп-корна. Машина для сладкой ваты. Кастрюли, сковородки. Настольные игры. Книжки. Питание для малышей (баночки, разводные каши). Тазы, кувшины, вазы и тп. Увлажнители воздуха Обогреватели для комнаты (плюс всегда можно включить кондиционер в режиме обогрева) Горшки, стульчики для кормления Дополнительные (более мягкие ) матрасы, легкие одеяла, твердые подушки Зарядки для телефонов разных моделей Дополнительные навесные полки в шкафы Если вам нужно что-то, чего нет в этом списке (например батарейка или нитки и тп) – обратитесь к руководителю стационара, скорее всего, мы сможем найти то что вам нужно. Место для потерянных вещей у охранника на 1 этаже."
